fill,lumi,nbx,SBIL,SBILerr,HFOCsig,HFOC err,HFOC FOM,HFOCFOMERR
6694,108.173,2162,7.591625926,62.36485709,838.5076758,2.027971053,1.004200809,0.002428708
6694,108.173,2162,3.532287406,30.01552639,846.3242403,3.309880797,1.013561964,0.003963929
6696,108.586,2544,7.497815549,53.12324678,843.7601253,2.296689686,1.010491168,0.002750527
6696,108.586,2544,3.507664135,44.13459948,831.7411931,3.47582302,0.996097237,0.004162662
6700,109.008,2544,7.139819277,52.24998416,850.1925889,2.535392534,1.018194717,0.003036398
6700,109.008,2544,2.482137438,34.78919854,827.0201804,4.239855889,0.99044333,0.005077672
6702,109.525,2544,7.378636953,66.70620306,843.5312606,2.440743967,1.010217079,0.002923047
6706,109.723,974,7.768399857,42.96142395,840.3453658,2.141348993,1.006401636,0.00256449
6706,109.723,974,6.014049227,35.6049701,843.0319852,2.604762415,1.009619144,0.003119476
6709,109.812,2544,7.620421819,41.90180949,833.3708671,2.978916014,0.998048943,0.003567564
6710,110.268,2544,7.241256248,61.90424857,846.9460521,2.212008611,1.014306649,0.002649112
6711,110.675,2544,6.550571175,49.95536567,841.798745,2.393403278,1.00814221,0.002866351
6711,110.675,2544,2.2651636,30.15313307,825.7310809,4.245618977,0.988899498,0.005084574
6712,111.194,2544,6.771881079,49.91346111,856.8458621,2.368125606,1.026162709,0.002836079
6712,111.194,2544,2.817569396,32.69424006,833.4601287,3.650404115,0.998155843,0.004371741
6714,111.675,2544,7.242761722,71.24462148,846.9241689,2.234392737,1.014280442,0.002675919
6714,111.675,2544,6.930368536,52.55234577,863.2406051,2.243541594,1.033821084,0.002686876
6714,111.675,2544,3.078292536,33.52034836,829.4481574,3.552345462,0.993351087,0.004254306
6719,112.264,2544,6.84820414,47.47157782,881.029632,2.353198265,1.055125308,0.002818202
6724,112.681,2544,4.467011973,31.25103022,876.6168453,3.113252844,1.049840533,0.003728447
6729,112.731,2544,6.526319972,50.08184837,862.6704128,2.309553874,1.033138219,0.002765933
6729,112.731,2544,2.851858168,38.41206522,827.7215991,3.636075295,0.991283352,0.004354581
6731,113.255,2544,6.706041275,56.97337251,843.5361525,2.330523197,1.010222937,0.002791046
6733,113.443,2544,6.52454717,52.33082357,847.8417484,2.353887432,1.015379339,0.002819027
6737,113.733,2544,6.413116439,52.88899417,851.102987,2.385717645,1.019285014,0.002857147
6738,113.745,2544,6.87173899,69.75392363,839.7708111,2.274738882,1.005713546,0.002724238
6738,113.745,2544,5.869855323,47.57869432,862.3501998,2.557676236,1.03275473,0.003063085
6738,113.745,2544,2.769305994,36.39610493,825.9810763,3.826973475,0.989198894,0.004583202
6741,114.276,2544,6.95728456,54.49461705,842.6075352,2.200585696,1.009110821,0.002635432
6741,114.276,2544,3.33185077,34.85795439,842.715646,3.485920268,1.009240295,0.004174755
6744,114.707,2544,5.915582375,57.21337788,843.9650893,2.443987327,1.010736634,0.002926931
6747,114.9,974,7.104705176,32.49833809,826.0427948,2.171522303,0.989272808,0.002600626
6749,114.972,2544,6.934683641,63.74001579,847.3026929,2.204304659,1.014733764,0.002639886
6749,114.972,2544,2.182588774,41.11510222,833.1344619,4.315401938,0.997765823,0.005168146
6751,115.54,2544,7.242257886,60.55926649,836.9475548,2.151368279,1.002332401,0.002576489
6751,115.54,2544,2.230264203,22.93194414,828.3138527,4.094107412,0.991992638,0.004903123
6752,116.088,2544,6.930691203,45.38791551,851.6962748,2.231894223,1.019995539,0.002672927
6755,116.336,2544,6.705792181,59.47329987,861.6131132,2.305385955,1.031871992,0.002760941
6757,116.4,2544,6.762613825,70.39370626,875.6292331,2.454173778,1.048657764,0.00293913
6757,116.4,2544,2.239834217,28.6998957,827.9187307,4.454278785,0.991519438,0.005334466
6759,116.927,2544,6.387464041,53.69985041,852.4575144,2.388893802,1.020907203,0.002860951
6759,116.927,2544,2.194596253,33.57011151,827.1744807,4.354408507,0.990628121,0.00521486
6761,117.456,2544,6.053874292,87.74211028,831.8768442,2.474556178,0.996259694,0.00296354
6761,117.456,2544,2.636567295,32.20989462,830.8989045,3.880035893,0.995088508,0.00464675
6762,117.918,2544,6.122409738,65.25893967,841.9503699,2.543493366,1.008323796,0.0030461
6763,118.297,2544,6.224959727,64.67535005,839.4792697,2.422007085,1.005364395,0.002900607
6768,118.771,2544,6.796953034,61.80285517,830.8366821,2.360026228,0.99501399,0.002826379
6770,118.892,2544,6.214699342,63.17233601,841.4302346,2.401827456,1.00770088,0.00287644
6770,118.892,2544,1.801554161,27.85516998,826.005208,4.318424423,0.989227794,0.005171766
6772,119.448,2544,5.748801031,58.23391247,837.9336557,2.537336421,1.00351336,0.003038726
6772,119.448,2544,1.548301999,22.80021063,831.5988599,4.823834907,0.995926778,0.005777048
6773,120.006,2544,4.92578375,50.25627573,835.2684118,2.437396857,1.000321451,0.002919038
6773,120.006,2544,1.699705741,24.33378119,822.9825009,4.429768039,0.985607786,0.005305111
6774,120.524,2544,5.322987625,49.88574417,841.2022003,2.536468495,1.007427785,0.003037687
6774,120.524,2544,1.671007878,16.81933827,829.4700436,4.489494314,0.993377298,0.00537664
6776,121.097,2544,5.182777457,41.7040409,833.4226155,2.381913957,0.998110917,0.002852592
6778,121.241,2544,5.851558174,42.36589973,836.0795347,2.414160295,1.001292856,0.00289121
6778,121.241,2544,5.909412234,41.76124547,833.3794232,2.498454837,0.998059189,0.002992161
6778,121.241,2544,4.413102474,32.77035602,828.9829514,2.848445,0.992793954,0.003411311
6847,121.488,140,6.918023128,17.06819997,801.7216618,2.397023286,0.960145703,0.002870687
6847,121.488,140,6.724125067,19.06271623,806.343612,0.883893547,0.965680973,0.001058555
6847,121.488,140,6.484868583,19.67251886,810.7723216,2.457093671,0.970984816,0.002942627
6850,121.506,590,7.03034783,21.95913176,826.5933855,2.187755261,0.989932198,0.002620066
6854,121.556,1214,6.773402655,53.26040815,815.137655,2.497989245,0.97621276,0.002991604
6854,121.556,1214,6.433255082,50.07156813,826.1763075,0.958236011,0.989432704,0.001147588
6854,121.556,1214,6.419638821,48.02573701,813.0164969,2.532941847,0.973672451,0.003033463
6858,121.639,1214,7.652479274,43.75786864,830.9920102,2.172091992,0.995200012,0.002601308
6860,121.658,2448,6.197306274,54.55165237,862.845102,2.533216235,1.033347428,0.003033792
6860,121.658,2448,4.028087892,28.9481174,838.1113369,3.313072232,1.003726152,0.003967751
6901,122.113,974,7.843228468,47.81676031,856.8071929,2.372324502,1.026116399,0.002841107
6901,122.113,974,4.220884211,39.27866163,817.3482675,3.606520825,0.978860201,0.004319187
6904,122.356,2448,5.911055432,40.07394103,831.1143662,2.416602781,0.995346546,0.002894135
6909,122.648,2544,6.153586117,46.62621784,850.5695657,2.377875206,1.018646187,0.002847755
6911,123.275,2544,5.640326606,46.80523681,837.1868165,2.514400277,1.002618942,0.003011258
6912,123.442,2544,5.982959287,48.54335138,843.1303634,2.535698841,1.009736962,0.003036765
6919,124.079,2544,5.631038084,36.69307546,839.6672746,2.429162346,1.00558955,0.002909176
6919,124.079,2544,2.029339841,30.81066872,825.9463877,4.045976654,0.989157351,0.004845481
6921,124.933,2544,5.940663159,45.51954006,836.1595603,2.342465586,1.001388695,0.002805348
6923,125.01,2544,6.062057857,44.24795058,833.3252599,2.340727761,0.997994323,0.002803267
6924,125.439,2544,5.066882535,47.18322838,837.566399,2.619771621,1.003073532,0.003137451
6925,125.692,2544,6.039629198,42.61408639,826.6583335,2.343047322,0.99000998,0.002806045
